,NAME,DEVELOPER,PUBLISHER,BASE PRICE,SUCCESS,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,NEGATIVE REVIEWS,POSITIVE REVIEWS,TOTAL REVIEWS,ALL TIME PEAK,positive_review_rate,peak_ratio,log_negative_reviews,log_positive_reviews,log_total_reviews,log_all_time_peak
42,Starbound,Chucklefish,Chucklefish,14.99,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12059,150680,162739,88355,0.925899753593177,0.014396468790674,9.39764947028118,11.9229202983648,11.9999091142506,11.3891293871567
43,Mabinogi,NEXON Korea Corp.,Nexon America Inc.,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,979,2760,3739,1191,0.738165284835517,0.456759026028547,6.88755257166462,7.92334821193015,8.22684089040858,7.0833878476253
44,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,990,15180,16170,5849,0.938775510204082,0.0090613780133356,6.89871453432999,9.62779992493271,9.69097479357794,8.6741969402259
45,FTL: Faster Than Light,Subset Games,Subset Games,9.99,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3079,67427,70506,18821,0.956329957734094,0.0673715530524414,8.03268487596762,11.1188156409002,11.1634672746515,9.84278167741873
46,I Am Alive,Ubisoft  Shanghaï,Ubisoft,14.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,839,1739,2578,1228,0.67455391776571,0.003257328990228,6.73340189183736,7.46164039220858,7.85515700588134,7.11395610956603
47,Alien: Isolation,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)",19.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3781,49851,53632,10761,0.929501044152745,0.0187714896385094,8.2380082492184,10.8168138949463,10.8899198292527,9.28377669004936
48,Space Rangers HD: A War Apart,"SNK Games,Elemental Games,Katauri Interactive",Fulqrum Publishing,14.99,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,333,5829,6162,778,0.945959104186952,0.263496143958869,5.8111409929767,8.67077227934454,8.72631895096224,6.65801104587075
49,Guacamelee! Gold Edition,DrinkBox Studios,DrinkBox Studios,14.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,396,5470,5866,1643,0.932492328673713,0.0036518563603164,5.98393628068719,8.60721669406383,8.67709870892586,7.40488757561612
50,Painkiller Hell & Damnation,The Farm 51,Prime Matter,19.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,887,3125,4012,1899,0.778913260219342,0.0068457082675092,6.78897174299217,8.04750951098142,8.29729437026692,7.54960916515453
51,Total War: ROME II - Emperor Edition,CREATIVE ASSEMBLY,SEGA,59.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14393,67750,82143,118240,0.82478117429361,0.0502621786197564,9.57456673206775,11.1235944987806,11.3162290836709,11.6804801935211
52,WAKFU,Ankama Studio,Ankama Games,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2449,7315,9764,4046,0.749180663662433,0.123084527928819,7.80384330353877,8.89781900951076,9.18655984331078,8.30573114487587
53,Secret World Legends,Funcom,Funcom,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2900,5904,8804,3740,0.670604270786006,0.0205882352941176,7.9728107841214,8.68355472863146,9.08307502093031,8.22710823434815
54,The Incredible Adventures of Van Helsing,NeocoreGames,NeocoreGames,14.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1605,7887,9492,4210,0.830910240202276,0.0090261282660332,7.38150189450671,8.97309789628247,9.1583099638818,8.34545542816193
55,Closers,Naddic Games,Naddic Games,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1188,3321,4509,2063,0.736526946107784,0.0528356761997092,7.08086789669078,8.10832229017324,8.41405243249672,7.63240112660145
56,Blood Bowl: Chaos Edition,Cyanide Studios,Cyanide Studios,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,328,1400,1728,1917,0.810185185185185,0.0182576943140323,5.79605775076537,7.24494154633701,7.45529848568329,7.55903825544338
57,Rise of the Triad,Interceptor Entertainment,Apogee Entertainment,14.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,821,1614,2435,2002,0.662833675564682,0.0014985014985015,6.71174039505618,7.38709023565676,7.79811262882979,7.60240133566582
60,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13334,58014,71348,29449,0.813113191680215,0.0383374647696017,9.49814743661612,10.9684568767816,11.1753386073898,10.2904491890797
61,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,9.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68257,581215,649472,247628,0.894903860366575,0.118338798520361,11.1310499222951,13.2728777395492,13.3839165437899,12.4196869373282
62,Lucius,Shiver Games,Shiver Games,9.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1907,8190,10097,1477,0.811132019411706,0.010155721056195,7.55381085200823,9.0107912695156,9.22009266341886,7.29844510150815
63,Scribblenauts Unlimited,5th Cell Media,Warner Bros. Interactive Entertainment,19.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,691,10360,11051,5118,0.937471722016107,0.0099648300117233,6.53958595561767,9.24580403625175,9.31036668604331,8.54071438645758
64,Hotline Miami,Dennaton Games,Devolver Digital,9.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2512,90002,92514,6858,0.972847352833085,0.0274132400116652,7.82923253754359,11.4075982820902,11.4351260725158,8.83331693749932
65,Don't Starve,Klei Entertainment,Klei Entertainment,9.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3442,102227,105669,16556,0.967426586794613,0.145808166223726,8.14409846333852,11.5349608918308,11.5680763094351,9.71456425210761
66,Divinity II: Developer's Cut,Larian Studios,"Larian Studios,Focus Home Interactive",19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,690,3758,4448,1237,0.844874100719424,0.0404203718674212,6.53813982376767,8.23190824356418,8.40043463080604,7.12125245324454
67,King Arthur's Gold,Transhuman Design,Transhuman Design,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,804,4315,5119,1294,0.842938073842547,0.0324574961360124,6.69084227741856,8.37008432637803,8.54090971803355,7.16626597413364
68,Antichamber,Alexander Bruce,Demruth,19.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,808,15611,16419,2352,0.95078872038492,0.008078231292517,6.69579891705849,9.65579512830051,9.70625538300642,7.76344638872736
69,Grim Dawn,Crate Entertainment,Crate Entertainment,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5679,85473,91152,61093,0.93769747235387,0.0588119751853731,8.6447065117152,11.3559675151118,11.4202946923463,11.0201689406651
70,Kerbal Space Program,Squad,Private Division,39.99,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6033,113637,119670,19079,0.949586362496866,0.0966507678599507,8.70516541971901,11.6407732363764,11.6925015898458,9.85639594500228
71,Thomas Was Alone,Bithell Games,Bithell Games,9.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,555,8474,9029,1032,0.938531398826005,0.0067829457364341,6.32076829425058,9.04487593224865,9.10830764641103,6.94022246911964
72,Zombie Driver HD,Exor Studios,Exor Studios,9.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,619,3079,3698,925,0.832612222823148,0.0075675675675675,6.42971947803914,8.03268487596762,8.21581779183245,6.83087423464618
73,Resident Evil 6,Capcom,Capcom,19.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10105,37449,47554,11836,0.787504731463179,0.0402162892869213,9.22088458585185,10.5307619889454,10.7696422149165,9.37898549795389
74,DayZ,Bohemia Interactive,Bohemia Interactive,44.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,94443,286096,380539,73336,0.751817816307921,0.78002618086615,11.4557623452369,12.5640861931391,12.8493465755944,11.2028205354164
75,Little Inferno,Tomorrow Corporation,Tomorrow Corporation,14.99,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,617,11239,11856,2060,0.947958839406208,0.0160194174757282,6.42648845745769,9.32723412344768,9.38067368945807,7.63094658089046
76,Super Hexagon,Terry Cavanagh,Terry Cavanagh,2.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,759,23351,24110,2650,0.968519286603069,0.0075471698113207,6.63331843328038,10.058437912534,10.0904234468808,7.88269220628903
77,Rocksmith® 2014 Edition - Remastered,Ubisoft - San Francisco,Ubisoft,9.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2207,20132,22339,4063,0.901204172075742,0.190745754368693,7.69984240739699,9.91011553882635,10.0141340726232,8.30992298925832
78,The Cave,Double Fine Productions,Double Fine Productions,14.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,341,2337,2678,2279,0.872666168782674,0.0048266783677051,5.8348107370626,7.75705114203201,7.89319886954461,7.73193072194849
79,The Stanley Parable,Galactic Cafe,Galactic Cafe,14.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3345,40825,44170,4818,0.924269866425176,0.0074719800747198,8.11552088154677,10.6170744123335,10.6958237441351,8.48032171664033
