,NAME,DEVELOPER,PUBLISHER,BASE PRICE,SUCCESS,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,NEGATIVE REVIEWS,POSITIVE REVIEWS,TOTAL REVIEWS,ALL TIME PEAK,positive_review_rate,peak_ratio,log_negative_reviews,log_positive_reviews,log_total_reviews,log_all_time_peak
0,X Rebirth,Egosoft,Egosoft,29.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4111,3145,7256,14664,0.433434399117971,0.0019094380796508,8.321664807135,8.05388708361822,8.88972179927814,9.59321898141155
1,Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,4.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1889,11012,12901,9429,0.853577242074258,0.0162265351574928,7.54433210805369,9.30683167216494,9.46513761709219,9.1516513756275
2,BioShock Infinite,"Irrational Games,Virtual Programming (Linux)",2K,29.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8321,126997,135318,65198,0.938507811229844,0.0077149605816129,9.02665788954289,11.7519266172852,11.8153902329767,11.0851994103738
3,Dragon Nest,Eyedentity Games Inc.,Eyedentity Games Inc.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,630,1649,2279,1754,0.723562966213251,0.0096921322690992,6.44730586254121,7.40853056689463,7.73193072194849,7.47022413589997
4,Grand Theft Auto IV: The Complete Edition,"Rockstar North,Rockstar Toronto",Rockstar Games,19.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27968,120970,148938,11696,0.812217164189126,0.258720930232558,10.2388520329648,11.7033061264321,11.911292105129,9.36708767765071
5,GROUND BRANCH,BlackFoot Studios,MicroProse Software,29.99,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1584,15836,17420,1667,0.909070034443169,0.25254949010198,7.36833968631138,9.67010425349173,9.76543165404016,7.41938058291869
6,RIFT,gamigo US Inc.,gamigo US Inc.,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2817,8111,10928,11647,0.742221815519766,0.0157980595861595,7.94378269245863,9.00109972583097,9.29917508567667,9.36288977043647
7,FINAL FANTASY VII,Square Enix,Square Enix,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1752,23206,24958,6424,0.929802067473355,0.119551681195517,7.46908388492123,10.0522092362828,10.1249897575782,8.76795190976342
8,FINAL FANTASY VIII,Square Enix,Square Enix,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996,7667,8663,4457,0.885028281195891,0.0325330940094234,6.90475076996184,8.94481110416553,9.06693178868083,8.40245551394581
9,FINAL FANTASY XIV Online,Square Enix,Square Enix,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8316,63439,71755,95102,0.884105637237823,0.278111921936447,9.02605689186869,11.0578498563087,11.181026753819,11.4627157937772
10,Borderlands 2,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",19.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17207,263318,280525,123596,0.938661438374476,0.0363361273827632,9.75312967094757,12.481121503914,12.5444216912714,11.7247815518665
11,Carrier Command: Gaea Mission,Bohemia Interactive,Bohemia Interactive,32.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,574,523,1097,1244,0.476754785779398,0.0040192926045016,6.35437004079735,6.26149168432104,7.00124562206948,7.12689080889881
12,The Bureau: XCOM Declassified,2K Marin,2K,19.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3442,8079,11521,7312,0.701241211700373,0.0038293216630196,8.14409846333852,8.99714715151514,9.35201353029233,8.89740886527095
13,Nidhogg,Messhof,Messhof,9.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,775,6727,7502,2136,0.896694214876033,0.0060861423220973,6.65415252018322,8.81403320165278,8.92305821954573,7.66715825531915
14,ORION: Prelude,DANKIE,DANKIE,0.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7091,21594,28685,7876,0.752797629423043,0.0013966480446927,8.8667226671941,9.9802170853948,10.2641644778542,8.97170239970333
15,Arma 3,Bohemia Interactive,Bohemia Interactive,29.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,24842,236570,261412,56185,0.904969932520313,0.229207083741212,10.1203313017018,12.3740036532762,12.4738568111468,10.9364228945284
16,Project Zomboid,The Indie Stone,The Indie Stone,19.99,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16387,261403,277790,65379,0.941009395586594,0.370470640419707,9.70430463866676,12.473822382274,12.5346243113694,11.0879716802782
17,Neverwinter,Cryptic Studios,Gearbox Publishing,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8388,28947,37335,14822,0.775331458417035,0.0736742679800297,9.03467660284629,10.273256395986,10.5277132876297,9.60393530751386
18,Owlboy,D-Pad Studio,D-Pad Studio,19.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,898,4733,5631,1287,0.840525661516604,0.0085470085470085,6.80128303447162,8.46252579007393,8.63621989783788,7.1608459066643
19,Worms Revolution,Team17 Digital Ltd,Team17 Digital Ltd,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1073,7264,8337,7770,0.871296629483027,0.018018018018018,6.97914527506881,8.89082357600438,9.02857865844074,8.95815413520924
20,XCOM: Enemy Unknown,"Firaxis Games,Feral Interactive (Linux)","2K,Feral Interactive (Linux)",29.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3012,50310,53322,70560,0.943512996511759,0.0167091836734694,8.0106915391303,10.8259790200519,10.8841230367759,11.1642328629158
21,Torchlight II,Runic Games,Gearbox Publishing,14.99,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3058,39995,43053,54010,0.928971267972034,0.0064062210701721,8.0258433441509,10.5965347280957,10.6702104207544,10.8969430085053
22,Wolfenstein: The New Order,MachineGames,Bethesda Softworks,19.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4529,47165,51694,11808,0.912388284907339,0.0328590785907859,8.41847721847708,10.7614285730218,10.8531163440208,9.37661723160128
24,Impire,Cyanide Montreal,Paradox Interactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,241,196,437,2540,0.448512585812357,0.0,5.48893772615669,5.28320372873799,6.08221891037645,7.84031298332016
25,Tomb Raider,"Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Nixxes","Crystal Dynamics,Feral Interactive (Mac)",1.99,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8870,221578,230448,89494,0.961509754912171,0.0093078865622276,9.09054280852059,12.3085344640218,12.3477848588032,11.4019380367806
26,America's Army: Proving Grounds,U.S. Army,U.S. Army,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2273,8463,10736,3040,0.788282414307005,0.06875,7.72929567431048,9.04357715409808,9.28145099943413,8.01994168767737
27,King's Bounty: Warriors of the North,Fulqrum Publishing,Fulqrum Publishing,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,307,1360,1667,2198,0.815836832633473,0.0505004549590537,5.73009978297357,7.21597500265147,7.41938058291869,7.69575799055476
28,The Bridge,"Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild",The Quantum Astrophysicists Guild,9.99,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,532,3654,4186,970,0.872909698996655,0.0051546391752577,6.27852142416584,8.20385137218388,8.33973976601914,6.87832646829133
29,Infested Planet,Rocket Bear Games,Rocket Bear Games,14.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,180,2670,2850,1252,0.936842105263158,0.0095846645367412,5.19849703126583,7.89020821310996,7.95542508891267,7.13329595489607
30,Dishonored,Arkane Studios,Bethesda Softworks,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1841,75716,77557,19930,0.976262619750635,0.0219769192172604,7.51860721681525,11.234757984887,11.2587813225362,9.90003158756274
32,Jet Set Radio,Blit Software,SEGA,7.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,913,6616,7529,2035,0.878735555850711,0.0137592137592138,6.81783057145415,8.79739737401206,8.92665032079394,7.61874237767041
33,SpeedRunners,DoubleDutch Games,tinyBuild,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2166,33526,35692,17131,0.939314132018379,0.0147101745373884,7.68109900153636,10.4201063633429,10.4827098701105,9.74870333873526
34,Omerta - City of Gangsters,Haemimont Games,Kalypso Media Digital,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,762,1496,2258,3983,0.662533215234721,0.0045192066281697,6.63725803128446,7.31121838441963,7.722677516468,8.29004161870449
35,Batman™: Arkham Knight,Rocksteady Studios,WB Games,19.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15139,100770,115909,25623,0.869388917167778,0.166217851149358,9.62509552699144,11.5206058948136,11.6605693068828,10.151284691289
36,Batman™: Arkham Origins,"WB Games Montreal,Splash Damage",Warner Bros. Interactive Entertainment,19.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5434,42942,48376,24938,0.887671572680668,0.0508460983238431,8.60061479955531,10.6676289339201,10.7867797731467,10.1241881221992
37,Strike Suit Zero,Born Ready Games Ltd.,Born Ready Games,6.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378,1270,1648,1093,0.770631067961165,0.000914913083257,5.93753620508243,7.14755927118945,7.4079243225596,6.99759598298193
38,Cortex Command,Data Realms,"Data Realms, LLC",19.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1674,4243,5917,62137,0.717086361331756,0.000112654296152,7.42356844425917,8.35326149973387,8.68575383296015,11.0371129970412
39,Sanctum 2,Coffee Stain Studios,Coffee Stain Publishing,14.99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1412,12671,14083,13560,0.899737271888092,0.0025811209439528,7.25347038268453,9.44715011405421,9.55279468027494,9.51495330508794
40,The Witness,"Thekla, Inc.","Thekla, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2487,14217,16704,6181,0.851113505747126,0.0330043682252063,7.81923445385907,9.56226404648943,9.72346335479086,8.72939712269206
41,Deadlight,"Tequila Works, S.L.",Xbox Game Studios,14.99,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2624,9836,12460,1663,0.789406099518459,0.0036079374624173,7.87283617502572,9.19390606551276,9.43035904594287,7.41697962138115
