"NAME","GENRES","DEVELOPER","PUBLISHER","RELEASE DATE","PLATFORMS","TAGS","SP/COOP/MP","BASE PRICE","NEGATIVE REVIEWS","POSITIVE REVIEWS","TOTAL REVIEWS","24-HR PEAK (2/28)","ALL TIME PEAK","positive_review_rate","peak_ratio","success","log_negative_reviews","log_positive_reviews","log_total_reviews","log_peak","log_all_time_peak"
"Among Us VR","Casual","Schell Games,Innersloth,Robot Teddy","Innersloth",2022-11-10,"Windows","VR,Multiplayer,Horror,Social Deduction,Psychological,Party Game,3D,Casual,Funny,Party,Colorful,Space,Sci-fi,Strategy,Survival,Cartoony,Minigames,Conversation,World War II,LGBTQ+","Online PvP,Online Co-op",9.99,597,1820,2417,22,779,0.752999586263964,0.0282413350449294,0,6.39359075395063,7.50714107972761,7.79069603117474,3.13549421592915,6.65929391968364
"Poly Bridge 3","Simulation","Dry Cactus","Dry Cactus",2023-05-30,"Windows,macOS,SteamOS,Linu","Simulation,Puzzle,3D,Building,Cartoon,Colorful,Physics,Level Editor,Stylized,Crafting,Funny,Singleplayer,Moddable","Single-player",19.99,38,986,1024,58,1028,0.962890625,0.056420233463035,1,3.66356164612965,6.89467003943348,6.93244789157251,4.07753744390572,6.93634273583405
"TRIANGLE STRATEGY","RPG,Simulation,Strategy","Square Enix,ARTDINK","Square Enix",2022-10-13,"Windows","Turn-Based Tactics,Strategy RPG,RPG,Strategy,JRPG,Politics,War,Pixel Graphics,Simulation,2D,Grid-Based Movement,Tabletop,Tactical,Story Rich,Singleplayer,Cats,Turn-Based Combat,Tactical RPG,Choices Matter,Visual Novel","Single-player",59.99,418,1719,2137,114,1971,0.804398689751989,0.0578386605783866,0,6.03787091992214,7.4500795698075,7.66762609158499,4.74493212836325,7.58680353516258
"DEATH STRANDING DIRECTOR'S CUT","Action,Adventure","KOJIMA PRODUCTIONS","505 Games",2022-03-30,"Windows","Story Rich,Open World,Walking Simulator,Atmospheric,Adventure,Exploration,Great Soundtrack,Action,Singleplayer,Post-apocalyptic,Cinematic,Third Person,Sci-fi,Horror,Action-Adventure,Relaxing,Multiplayer,Combat,Third-Person Shooter,Stealth","Single-player",9.99,1756,22704,24460,1780,6003,0.928209321340965,0.296518407462935,1,7.4713630881871,10.0303404435321,10.1048352914799,7.48493028328966,8.70018119275335
"Ghost Watchers","Adventure,Early Access","Renderise","Renderise",2022-07-28,"Windows","Horror,Co-op,Survival Horror,Multiplayer,Demons,Adventure,Puzzle,First-Person,Action-Adventure,Cinematic,Dark,Realistic,Detective,Online Co-Op,PvE,Team-Based,Nonlinear,Singleplayer,Early Access,VR","Single-player,Online Co-op",14.99,1846,11765,13611,213,4666,0.864374403056351,0.0456493784826404,0,7.52131798019924,9.3729692954244,9.5187070356208,5.36597601502185,8.44827174594982
"The Jackbox Party Pack 9","Casual,Indie,Strategy","Jackbox Games, Inc.","Jackbox Games, Inc.",2022-10-19,"Windows,macOS,SteamOS,Linu","Casual,Trivia,Board Game,Word Game,2D,Comedy,Family Friendly,Party Game,Party,Cartoon,Local Multiplayer,Colorful,Funny,PvP,Local Co-Op,Team-Based,Indie,Strategy,Co-op,Multiplayer","Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op",29.99,108,525,633,43,2301,0.829383886255924,0.0186875271621034,0,4.69134788222914,6.26530121273771,6.45204895443723,3.78418963391826,7.74153358928183
"Samurai Bringer","Action,Indie","ALPHAWING Inc.","PLAYISM",2022-04-21,"Windows","Spectacle fighter,Action,Roguelite,Collectathon,Action Roguelike,Roguelike,Action-Adventure,Voxel,Character Customization,Hack and Slash,2.5D,Dungeon Crawler,Colorful,Cute,Historical,Controller,Procedural Generation,Pixel Graphics,Ninja,Mythology","Single-player",9.99,110,814,924,5,1359,0.880952380952381,0.00367917586460633,0,4.70953020131233,6.70318811324086,6.82979373751242,1.79175946922805,7.2152399787301
"Heroes Of The Dark","Action,Free to Play,Massively Multiplayer,RPG,Simulation,Strategy","Gameloft","Gameloft",2022-04-06,"Windows","RPG,Strategy,City Builder,4X,MMORPG,Strategy RPG,Real Time Tactics,Tactical RPG,Dark Fantasy,Magic,Supernatural,Tactical,Vampire,War,PvP,Base Building,Character Customization,Combat,Werewolves,Massively Multiplayer","Single-player,Online PvP,Online Co-op",0,93,151,244,91,244,0.618852459016393,0.372950819672131,0,4.54329478227,5.02388052084628,5.50125821054473,4.52178857704904,5.50125821054473
"Total Conflict: Resistance","Action,Simulation,Strategy,Early Access","Thunder Devs.","Thunder Devs.",2023-04-21,"Windows","Early Access,FPS,Tactical,Wargame,RTS,Grand Strategy,Real Time Tactics,Immersive Sim,Combat,Military,Cinematic,Realistic,War,Management,Atmospheric,Political Sim,Resource Management,Choices Matter,Economy,Strategy","Single-player",29.99,485,1900,2385,143,654,0.79664570230608,0.218654434250765,0,6.18620862390049,7.55013534248843,7.77737360265786,4.969813299576,6.48463523563525
"N-Age: Awakening","Casual,Massively Multiplayer,Free to Play","VALOFE","VALOFE",2023-06-12,"Windows","Casual,Action-Adventure,3D Platformer,Colorful,Cyberpunk,Fantasy,Futuristic,Combat,Hack and Slash,Free to Play,Massively Multiplayer,PvE,PvP,Multiplayer,Singleplayer","Single-player,Online PvP,Online Co-op",0,34,33,67,0,0,0.492537313432836,NA,0,3.55534806148941,3.52636052461616,4.21950770517611,0,0
"Mystwood Manor","Adventure,Casual,Indie,Simulation","Faerin Games","Faerin Games",2022-09-30,"Windows,macO","Sexual Content,Nudity,Simulation,Adventure,Resource Management,Visual Novel,Mystery,Management,Casual,Immersive Sim,Exploration,2.5D,Supernatural,Fantasy,Comedy,Relaxing,Point & Click,Time Management,NSFW,Conversation","Single-player",19.99,142,881,1023,33,1767,0.86119257086999,0.0186757215619694,0,4.96284463025991,6.78219205600679,6.93147180559945,3.52636052461616,7.47760424319759
"挂机神话","Casual,Indie,RPG,Strategy","摸鱼猫工作室","摸鱼猫工作室",2023-04-06,"Windows","Idler,Casual,Word Game,Loot,Strategy,Clicker,Text-Based,Turn-Based Tactics,Turn-Based Strategy,RPG,Character Customization,Mythology,Roguelite,Roguelike,Procedural Generation,Comedy,Funny,Relaxing,Singleplayer,2D","Single-player",1.99,136,1537,1673,105,1139,0.918708906156605,0.0921861281826163,0,4.91998092582813,7.33823815006559,7.42297125104942,4.66343909411207,7.03878354138854
